Question,Answer
What is Laxmi Sunrise Mobile money?,"Mobile Money is a convenient, real-time and safe banking channel that allows you to access your Laxmi Sunrise account using your mobile phone through Data (e.g. 3G), WiFi or SMS."
What is new and upgraded Mobile Money?,"Mobile Money is a convenient, real-time and safe banking channel that allows you to access your Laxmi Sunrise account using your mobile phone through Data (e.g. 3G), WiFi or SMS. The new and upgraded refers to the fact that banking through mobile phones can now be done over Data (e.g. 3G) and WiFi thereby making it more reliable and robust."
What does Mobile Money actually allow me to do?,"With Mobile Money application, you can access and manage your Laxmi accounts to perform the following services:
1. Non Financial
-View your account balances and transaction statements.
-Locate ATMs and branches with its route navigation.
-Get latest foreign exchange rates issued by the bank and stock market value of the bank.
-Request for cheque book with number of leaves and statement request between applicable dates.
-Shake to get frequently used service menus.
-Get instant notifications from debit and credit on account activities.
-Stop Cheque on real-time
2. Financial
-Card-less ATM Withdrawal
-Transfer funds between your applicable Laxmi Bank accounts
-Utility payments like: Postpaid Mobile, NTC Landline
-Top-up: NTC Prepaid, ADSL, NCell Prepaid, NCell Postpaid, Dishome accounts
-Recharge Vouchers for NTC prepaid, NTC CDMA, Broad link, Smart Cell, Dish home and Radius
-Merchant Payments
-Load your eSewa account
-Credit Card Payment
-Inter-bank fund transfers on listed banks
"
Does it cost to use Mobile Money?,"Data and SMS charges from and payable to your mobile network operator (MNO) will be applicable. Please check with your MNO for the actual cost of data or SMS."
How can I register for Mobile Money?,"You can register for Mobile Money by:
Option 1: Please visit your nearest Laxmi Bank branch to sign up.
Option 2: You can apply online at www.laxmisunrise.com.
Option 3: You can download and apply through the App itself (from Google PlayStore)
Once we verify your application, we will send a confirmation along with your passwords through SMS to your registered mobile number.
"
How many passwords does Mobile Money require?,"You will need 2 passwords to operate through Data (e.g. 3G) or WiFi, and 1 password to operate through SMS."
What is the purpose of 3 separate passwords in Mobile Money?,"The purpose of 3 separate passwords in Mobile Money are:
1. Data & WiFi
2. Login password: to login and check balances and carry out other non-financial transactions.
3. Transaction password: to carry out financial transactions.
4. SMS
5. SMS password: in case you wish to transact via SMS and not through Data or WiFi.
"
How do I get the application installed in my Mobile Phone?,"The application is now available for download at the Google PlayStore for Android users and App Store for Apple iOS/iPhone users."
What do I do after I receive the Message with the passwords and PIN in Mobile Money app?,"1. For Data and WiFi passwords:
Once you install the Mobile Money application in your mobile phone, please log in using the Login Password. The Username is your registered mobile number given to the Bank at the time of signing up for the service. Upon your first successful login, you will be asked to change both your Login and Transaction passwords. Once you set your new Login and Transaction passwords, you will need to log in with the new password to use the services.
2. For SMS password:
You will be prompted to change your PIN from the “Settings” menu to activate the service.
Also remember to keep all your passwords private and confidential to safeguard your personal finances.
"
Will I be able to access all of my accounts using Mobile Money?,"Yes, you can access all accounts that you have specified at the time of registration process. In case you need to add or delete accounts, please visit your nearest Laxmi Bank branch to give us an instruction."
What happens if I lose signal while making a transaction?,"When you complete a transaction from your mobile device (bill payment, funds transfer, etc). You will receive a confirmation message in the notice bar and confirmation dialogue box. If you do not receive this message due to a dropped call or lost signal, check your account statement or balance and initiate a new transaction request."
I am an existing user of the older version of Mobile Money. What will happen to my old App and PIN?,"You can continue to use the old PIN to carry out transactions through SMS. However, this service will be phased out soon so we request you to sign up and start using the new version at your earliest convenience."
How secure is Mobile Money?,"Mobile Money uses 2 Factor Authentication (2FA).
2FA is based on the principle of:
-What you know: i.e. your Password, and
-What you have: i.e. your mobile phone
Your mobile phone is recognized and registered by our system when you first sign in with your username and password. After this, your account cannot be accessed from any other mobile phones even if the correct username and password is used.
Note: Message sent over SMS is encrypted which protects against tampering at any point before message delivery."
Is it posiible to recover password through mobile app itself?,"Yes, it is possible to recover password through the mobile app itself. The steps are:
- Open your Laxmi Sunrise Mobile Money app
- Click on Register/ Activate or Forgot Password
- Navigate to Forgot Password
- Enter your mobile number
- Send a confirmation SMS to validate your mobile number
- Provide verification code
- Answer the set Security Question if you have set them
- Change your password
If you need further assistance, you may reach out **Customer Care Center** at **Tel:01-5970684, 01-4217070, Toll free:16600122444**, Mobile:  **9866298952** or **WhatsApp/Viber (Text Only): 9869496336**"
How can I reset password in mobile money or mobile banking?,"Please follow the steps given below to reset password in mobile money:
1. Open the Laxmi Sunrise Mobile Money app.
2. Click on 'Register/Activate' or 'Forgot Password'.
3. Navigate to 'Forgot Password'.
4. Enter your mobile number.
5. Send a confirmation SMS to validate your mobile number.
6. Provide the verification code.
7. Answer the set Security question if you have set them
8. Change your password.
If you need further assistance, you may reach out **Customer Care Center** at **Tel:01-5970684, 01-4217070, Toll free:16600122444**, Mobile:  **9866298952** or **WhatsApp/Viber (Text Only): 9869496336**"
How can I activate my bank account through mobile money?,"You can activate your bank account through mobile money by the following steps
- Opening your mobile money app
- Clicking on Register/ Activate or Forgot Password
- Accepting the terms and conditions
- Verifying mobile number
- Providing the send verification code
"
How can I activate my bank account through mobile banking?,"You can activate your bank account through mobile banking by the following steps
- Opening your mobile money app
- Clicking on Register/ Activate or Forgot Password
- Accepting the terms and conditions
- Verifying mobile number
- Providing the send verification code
"
What is the mobile banking transaction limit?,"The transaction limit for Mobile Money Fund Transfer is NPR 300,000 per transaction, with a daily limit of NPR 300,000 and a monthly limit of NPR 2,000,000, as per the Nepal Rastra Bank's PSD Unified Directive 2079. For more details, you can visit https://www.laxmisunrise.com/notice/
"
What is the mobile banking unblock process?,"If you want to unblock your mobile banking, consider the following:
- If your mobile banking is blocked due to entering the wrong password or PIN, it will automatically unblock after 24 hours.
- If it's blocked because of wrong answers to the security question, you need to visit the nearest branch to unblock it.
For more help, you can contact our Customer Care Center at Tel:01-5970684, 01-4217070, Toll free:16600122444, Mobile:  9866298952 or WhatsApp/Viber (Text Only): 9869496336"
