Question, Answer
What is Wonder Woman Savings or woman savings?,"Wonder Woman Savings is a specially crafted savings account by Laxmi Sunrise dedicated to empowering women. It honors the strength and balance women maintain in work, home, and social responsibilities."
Who is Wonder Woman Savings for?,"This account is designed exclusively for women, providing unique benefits to help them save, invest, and achieve their financial goals."
What is the purpose of Wonder Woman Savings?,"To empower women by offering tailored financial solutions that support their diverse roles and ambitions, helping them unlock their full financial potential"
What are the interest rates for Wonder Woman Savings?,"It offers a 2.75% interest rate, paid quarterly."
What banking services are included for the Wonder Woman Savings account?,"You get Mobile and Internet Banking, a VISA Debit Card, free cheque book issuance, and Any Branch Banking Services (ABBS) including cheque book requests."
What insurance benefits come with the Wonder Woman Savings account?,"-Medical insurance of up to NPR 100,000 per year
-NPR 20,000 coverage for OPD facility
-NPR 80,000 coverage for hospitalization
-Accidental Death / Disability Insurance of up to NPR 500,000
-Critical Illness Insurance of up to NPR 500,000
Insurance is provided via Himalayan Everest Insurance Ltd. under applicable terms and conditions.
"
Is ASBA/C-ASBA service available for Wonder Woman Savings account?,"Yes, ASBA/C-ASBA services are available with Wonder Woman Savings."
What are the fees associated with Wonder Woman Savings?,"The Complete Green Banking Package costs NPR 400 or as per the Schedule of Service Charges for each individual service. Other charges apply as per the Schedule of Service Charges (SSC)."
How to apply for the Wonder Woman Savings account?,"You can apply by visiting your nearest branch. You can also apply online by following the link: https://www.laxmisunrise.com/online-application/"
What are the required documents to open a Wonder Woman Savings account?,"The required documents are: 
1. Residential address in Nepal
2. Copy of National ID card
3. Two passport-size photographs
You may also need (if applicable), 1. An additional ID card such as license, student ID card or Passport (if available).
2. Water or Electricity Bills.
"
Who can apply for the Wonder Woman Savings account online?,"Anyone older than 18 years of age can apply online."
What is the minumum balance required to open the Wonder Woman Savings account?,"No minimum balance is required to open the account."
Can I apply online if the Wonder Woman Savings account funds are held in trust?,"No, applications for accounts where funds are held in trust cannot be accepted online."
What should I do if I can't apply for the Wonder Woman Savings account online?,"If you have questions or cannot apply online, please call 01-5970684 anytime for assistance."
What are the features of Wonder Woman Savings account?,"2.75% Interest Rate paid quarterly
Mobile and Internet Banking
VISA Debit Card
Insurance Benefits
Medical insurance of up to NPR 100,000 per year*
NPR 20,000 for OPD facility
NPR 80,000 for hospitalization
Accidental Death / Disability Insurance of up to NPR 500,000*
Critical Insurance of up to NPR 500,000*
Free cheque book issue
Any Branch Banking Services (ABBS) including cheque book requests
ASBA/C-ASBA service
"
What are the terms and conditions to open Wonder Woman Savings Account?,"To know about the terms and conditions, please visist: https://www.laxmisunrise.com/terms-and-conditions/."
