Question,Answer
How do I open a deposit account with Laxmi Sunrise Bank?,"Customers who wish to open a deposit account with LSB shall visit any of our branch. Upon request for account opening, our Customer Service department will provide the necessary forms, which must be duly filled and signed by the customer. Customer can also request for other services like Cheque Book, Mobile/ Corporate Internet banking, Debit Card, etc. 
Customers may also apply online through our website for account opening."
What are the documents I need to submit to open a deposit account?,"Documents required for opening our deposit account varies according to its type. Please check out our website: [https://www.laxmisunrise.com/] for more information."
What benefits will I get from opening a deposit account with LSB?,"Most of our saving products do not have the minimum balance required except the Orange Saving & Orange Saving Plus have requirement to have a minimum balance of Rs. 5000 & Rs. 25000 respectively. For more information, please visit our website [https://www.laxmisunrise.com/]"
On what basis is the interest calculated?,"We have different interest rates for different services. Please follow the link: [https://www.laxmisunrise.com/rates/interest-rates/]
"
When is interest credited?,"Interest is generally credited on quarterly basis the last day of the Nepali month Ashadh, Ashwin, Poush and Chaitra."
How to activate if the account is Dormant?,"Please visit the following link: [https://www.laxmisunrise.com/online-kyc]
"
What is the SWIFT CODE of Laxmi Sunrise Bank?,"The SWIFT Code of Laxmi Sunrise Bank is LXBLNPKA."
Can I have a Cheque Book?,"Dear customer, you can request your cheque book online through Internet Banking service, Mobile Money App, or by visiting nearest branch."
Is there any transcation limit?,"As per Nepal Rastra Bank's PSD Unified Directive 2079 issued on 30 Jan, 2023, following are the transaction limit that will be applicable on digital/electronic banking channels.
| **Services**               | **Per Txn**\*             | **Daily**\* | **Monthly**\* |
| -------------------------- | ------------------------- | ----------- | ------------- |
| Wallet Transfers           | 25,000/-                  | 100,000/-   | 500,000/-   |
| ATM Cash Withdrawal        | 20,000/-                  | 50,000/-    | 300,000/-     |
| Mobile Money Fund Transfer | 300,000/-                 | 300,000/-   | 2,000,000/-   |
| iBank Fund Payment         | 2,000,000/-               | 2,000,000/- | 5,000,000/-   |
| Credit Card Withdrawals    | 10% Of Total Credit Limit |             |               |
To know more, please follow the link: https://www.laxmisunrise.com/notice/
"
What is the transaction limit to transfer money to and from wallet?,"The transaction limit of transfer to and from wallets is NPR 25,000 per transaction, NPR  100,000 per day and NPR 500,000 per month. as per the Nepal Rastra Bank's PSD Unified Directive 2079. For more details, you can visit https://www.laxmisunrise.com/notice/"
What is the transaction limit for ATM Cash Withdrawl?,"The transaction limit for ATM Cash Withdrawl is NPR 20,000 per transaction, NPR 50,000 per day and NPR 300,000 per month. as per the Nepal Rastra Bank's PSD Unified Directive 2079. For more details, you can visit https://www.laxmisunrise.com/notice/"
What is the transaction limit for iBank Fund Payment?,"The transaction limit for iBank Fund Payment is NPR 2,000,000 per transaction, NPR 2,000,000 per day and NPR 5,000,000 per month. as per the Nepal Rastra Bank's PSD Unified Directive 2079. For more details, you can visit https://www.laxmisunrise.com/notice/"
What is the transaction limit for credit card withdrawals?,"The transaction limit for credit card withdrawals is 10% of the credit card limit."
What is the mobile banking transaction limit?,"The transaction limit for Mobile Money Fund Transfer is NPR 300,000 per transaction, with a daily limit of NPR 300,000 and a monthly limit of NPR 2,000,000, as per the Nepal Rastra Bank's PSD Unified Directive 2079. For more details, you can visit https://www.laxmisunrise.com/notice/"
How do I close an Account?,"Accountholder have to visit the branch to make a account closure request. Unused cheques and Debit Cards (if taken) must also be surrendered to the bank."
How to open account online?,"To apply for an online account, please follow the steps below:
1. Visit our website and click on 'Open Account Digitally' on the top right of the website or go directly to this link: https://www.laxmisunrise.com/online-application.
2. Fill in the preference and verification information.
3. Click on **'Get Verification Key'**.
4. An OTP will be sent to your provided mobile number or email for verification. 
5. Fill out the account form and click on 'Create My Account' after reviewing your details.
6. Choose 'Video KYC' as the verification method if you live overseas.  
7. A link will be provided to email to a video meeting so that video KYC verification can be done."
How to join video meeting after the link has been provided?,"To join the video meeting:  
1. Click the meeting link in your email.  
2. Allow access to your location, microphone, and camera to ensure the status shows 'allowed'.  
3. Click the Connect button and enter the OTP sent to your email.  
4. If location access is blocked, try using a VPN (e.g., 1.1.1.1).  
5. Since the process requires a strong network connection, using a reliable Wi-Fi network is recommended.
6. For iPhone users, copy the meeting link and open it using Google Chrome.
7. If the link doesn't work on your device, try another device.  
"
What are the steps to be followed after I click on the Video KYC option,"A link will be provided to email to a video meeting so that video KYC verification can be done.To join the video meeting:  
1. Click the meeting link in your email.  
2. Allow access to your location, microphone, and camera to ensure the status shows 'allowed'. 
3. Click the Connect button and enter the OTP sent to your email.  
4. If location access is blocked, try using a VPN (e.g., 1.1.1.1).  
5. Since the process requires a strong network connection, using a reliable Wi-Fi network is recommended.
6. For iPhone users, copy the meeting link and open it using Google Chrome.
7. If the link doesn't work on your device, try another device.  
"
Is Safe deposit locker service available?,"Yes. Laxmi Sunrise Bank offers Safe Deposit Locker service provides you sound and secure place to keep your valuables, be it valuable corporate papers or bonds / share certificates or jewellery. Please visit https://www.laxmisunrise.com/auxillaries/safe-deposit-lockers/ for more information."
How to apply for NRN Term Deposit?,"Please visit: https://www.laxmisunrise.com/NRN%20Term%20Deposit/ to apply. You can also visit your nearest branch to apply."
What is the currency to open NRN Term Deposit?,"You can currently open Term Deposit accounts with us in US Dollars, Pound Sterling, Euro and Australian Dollar."
"What are the forex rates?,"To know more about the forex rates, please visit: https://www.laxmisunrise.com/rates/forex/"
Tell about Laxmi Sunrise Bank,"On July 14, 2023, a new era in banking began with the birth of Laxmi Sunrise Bank, emerging from the merger of two established Nepali banks – Laxmi Bank, established in 2002, and Sunrise Bank, established in 2007. As a category “KA” financial institution licensed by the Nepal Rastra Bank and registered under the BAFIA, Laxmi Sunrise is committed to delivering unparalleled financial services to our valued customers. Welcome to Laxmi Sunrise, where the future of banking meets a rich legacy of trust and excellence."
How do I apply for a credit card?,"To apply for credit card, please visit any Laxmi Sunrise Bank branch or apply online via this link: https://www.laxmisunrise.com/card-services/credit-card/"
What are the basic Banking Services of Laxmi Sunrise Bank?,"1. ATM Card
2. Credit Card
3. Dollar Prepaid Travel Card
4. SMS(Mobile) Banking
5. Internet Banking(Bank) Services
6. Email Alerts
7. Mobile Money
8. Mobile Banking
9. Safe Deposit Locker
10. Trade operations
11. Loan Administration
"
Is the Safe Deposit Locker safe?,"We provide maximum safety for valuables placed in our Safe Deposit Lockers and lockers of different sizes are available to suit your requirements, at reasonable rates."
How can I access the Safe Deposit Locker safe?,"Access to these safe deposit lockers can be done through our branches. Please visit https://www.laxmisunrise.com/auxillaries/safe-deposit-lockers/ for more info."
Where can I get the locker size information?,"For locker size and charges information, please visit the following link  https://www.laxmisunrise.com/auxillaries/safe-deposit-lockers/"
What are your available card services?,"We have following card services available:
1. VISA Debit Card
2. VISA Credit Card
3. Dollar Travel Card
4. Dollar Prepaid Card"
SMS(Mobile) Banking,"For SMS banking, please send the message to 32002. For more information please follow the link: https://www.laxmisunrise.com/electronic-banking/mobile-money/."
What is the way to get Internet Banking service?,"To activate Internet Banking services, customers are required to visit their nearest branch."
Forgot Pin of ATM Card,"Your atm card pin may have been blocked due to Multiple Wrong Attempts in password.
To reset the atm card pin please visit our nearest branch or for self unblock, log in to our mobile money app and follow the steps:
Click on Card Service option
Click on Reset Pin Count & click on Card Unblock/Activate.
For more information please contact to our branch.
"
Forgot Password of Internet Banking,"To reset your internet banking password you can either visit our nearest branch or call us directly at Customer Care Center  via 01-5970684 / 01-4217070 / 16600122444 (Toll Free) or text us on WhatsApp / Viber at 9869496336. You can also email us at cx@laxmisunrise.com. For more information please contact to our branch."
Dormant Account Activation,"Please follow the link: [https://www.laxmisunrise.com/online-kyc] to know more about dormant account activation."
I am currently abroad but my account is dormant. What can I do?,"For your information, to activate a dormant account, you are required to fill out both the KYC form and the Dormant Account Activation Form. Additionally, you will need to provide:
- A passport-size photo, and
- A copy of your citizenship certificate.
Since you are currently residing abroad, you may contact our remittance team via Viber or WhatsApp at the following numbers: +977-9851148989 or +977-9851148686. They will assist you accordingly."
For Buy Now Pay later,"please follow the link: [https://www.laxmisunrise.com/card-services/credit-card-buy-now-pay-later/]"
To know about the orangenxt,"please follow the link: [https://orangenxtapp.com/]"
